subject,subject_label,predicate,predicate_label,object,object_label
ENVO:01000041,neritic sea surface microlayer biome,rdfs:subClassOf,None,ENVO:01000032,neritic pelagic zone biome
ENVO:01000046,marginal sea biome,rdfs:subClassOf,None,ENVO:00000447,marine biome
ENVO:01000047,mediterranean sea biome,rdfs:subClassOf,None,ENVO:00000447,marine biome
ENVO:01000047,mediterranean sea biome,rdfs:subClassOf,None,ENVO:01001833,mediterranean biome
ENVO:01000048,ocean biome,RO:0002507,determined by,ENVO:00000015,ocean
ENVO:01000048,ocean biome,rdfs:subClassOf,None,ENVO:00000447,marine biome
ENVO:01000051,marine black smoker biome,rdfs:subClassOf,None,ENVO:01000030,marine hydrothermal vent biome
ENVO:01000052,marine white smoker biome,rdfs:subClassOf,None,ENVO:01000030,marine hydrothermal vent biome
ENVO:01000053,marine ultramafic hydrothermal vent biome,rdfs:subClassOf,None,ENVO:01000030,marine hydrothermal vent biome
ENVO:01000054,marine basaltic hydrothermal vent biome,rdfs:subClassOf,None,ENVO:01000030,marine hydrothermal vent biome
ENVO:01000123,marine sponge reef biome,rdfs:subClassOf,None,ENVO:01000029,marine reef biome
ENVO:01000127,marine cold seep biome,BFO:0000051,has part,ENVO:01000263,cold seep
ENVO:01000127,marine cold seep biome,rdfs:subClassOf,None,ENVO:01000024,marine benthic biome
ENVO:01000128,dilution basin mediterranean sea biome,rdfs:subClassOf,None,ENVO:01000047,mediterranean sea biome
ENVO:01000174,forest biome,rdfs:subClassOf,None,ENVO:00000446,terrestrial biome
ENVO:01000174,forest biome,rdfs:subClassOf,None,ENVO:01001243,forest ecosystem
ENVO:01000175,woodland biome,BFO:0000051,has part,ENVO:00000109,woodland area
ENVO:01000175,woodland biome,rdfs:subClassOf,None,ENVO:00000446,terrestrial biome
ENVO:01000177,grassland biome,rdfs:subClassOf,None,ENVO:00000446,terrestrial biome
ENVO:01000177,grassland biome,rdfs:subClassOf,None,ENVO:01001206,grassland ecosystem
ENVO:01000178,savanna biome,rdfs:subClassOf,None,ENVO:01000175,woodland biome
ENVO:01000179,desert biome,RO:0002131,overlaps,ENVO:00000097,desert area
ENVO:01000179,desert biome,rdfs:subClassOf,None,ENVO:00000428,biome
ENVO:01000179,desert biome,rdfs:subClassOf,None,ENVO:01001780,desert ecosystem
ENVO:01000180,tundra biome,rdfs:subClassOf,None,ENVO:00000446,terrestrial biome
ENVO:01000180,tundra biome,rdfs:subClassOf,None,ENVO:01001370,tundra ecosystem
ENVO:01000181,mangrove biome,BFO:0000051,has part,ENVO:00000057,mangrove swamp
ENVO:01000181,mangrove biome,rdfs:subClassOf,None,ENVO:00000446,terrestrial biome
ENVO:01000182,temperate desert biome,rdfs:subClassOf,None,ENVO:01000179,desert biome
ENVO:01000182,temperate desert biome,rdfs:subClassOf,None,ENVO:01001831,temperate biome
ENVO:01000183,tropical desert biome,rdfs:subClassOf,None,ENVO:01000179,desert biome
