raw_text,portion_parsed,normalized_curie,normalized_label
PATO:0045051 ! normal area,PATO:0045051 ! normal area,,PATO:0045051  normal area
ENVO:03501333 ! child care environment,ENVO:03501333 ! child care environment,ENVO:03501333,child care environment
FOODON:03420307 ! seed oil,FOODON:03420307 ! seed oil,,FOODON:03420307  seed oil
UBERON:0001898 ! hypothalamus,UBERON:0001898 ! hypothalamus,,UBERON:0001898  hypothalamus
ENVO:03501318 ! hygienic food production area,ENVO:03501318 ! hygienic food production area,ENVO:03501318,hygienic food production area
ENVO:03501156 ! maternity unit facility,ENVO:03501156 ! maternity unit facility,ENVO:03501156,maternity unit facility
CHEBI:33970 ! elemental gold,CHEBI:33970 ! elemental gold,,CHEBI:33970  elemental gold
CHEBI:37133 ! barium molecular entity,CHEBI:37133 ! barium molecular entity,,CHEBI:37133  barium molecular entity
ENVO:03501174 ! high dependency unit facility,ENVO:03501174 ! high dependency unit facility,ENVO:03501174,high dependency unit facility
ENVO:01000047 ! mediterranean sea biome,ENVO:01000047 ! mediterranean sea biome,ENVO:01000047,mediterranean sea biome
ENVO:01001179 ! cnidarian-associated environment,ENVO:01001179 ! cnidarian-associated environment,ENVO:01001179,cnidarian-associated environment
ENVO:01001491 ! flattened elevation,ENVO:01001491 ! flattened elevation,ENVO:01001491,flattened elevation
ENVO:00000161 ! banana plantation,ENVO:00000161 ! banana plantation,ENVO:00000161,banana plantation
ENVO:00000310 ! meteor impact crater,ENVO:00000310 ! meteor impact crater,ENVO:00000310,meteor impact crater
ENVO:03600075 ! oil mill,ENVO:03600075 ! oil mill,ENVO:03600075,oil mill
ENVO:01001018 ! hypereutrophic water,ENVO:01001018 ! hypereutrophic water,ENVO:01001018,hypereutrophic water
ENVO:02000020 ! blood material,ENVO:02000020 ! blood material,ENVO:02000020,blood material
ENVO:01000293 ! ice mass,ENVO:01000293 ! ice mass,ENVO:01000293,ice mass
UBERON:0006601 ! presumptive ectoderm,UBERON:0006601 ! presumptive ectoderm,,UBERON:0006601  presumptive ectoderm
ENVO:00000042 ! drainage canal,ENVO:00000042 ! drainage canal,ENVO:00000042,drainage canal
ENVO:01000318 ! extreme high temperature environment,ENVO:01000318 ! extreme high temperature environment,ENVO:01000318,extreme high temperature environment
ENVO:00002229 ! arenosol,ENVO:00002229 ! arenosol,ENVO:00002229,arenosol
PATO:0000125 ! mass,PATO:0000125 ! mass,,PATO:0000125  mass
FOODON:00002071 ! orange food product,FOODON:00002071 ! orange food product,,FOODON:00002071  orange food product
PATO:0045079 ! normal velocity,PATO:0045079 ! normal velocity,,PATO:0045079  normal velocity
UBERON:0003219 ! shell septum,UBERON:0003219 ! shell septum,,UBERON:0003219  shell septum
ENVO:03501310 ! switch,ENVO:03501310 ! switch,ENVO:03501310,switch
CHEBI:16261 ! chitosan,CHEBI:16261 ! chitosan,,CHEBI:16261  chitosan
PATO:0002271 ! decreased accumulation,PATO:0002271 ! decreased accumulation,,PATO:0002271  decreased accumulation
ENVO:01000858 ! marine upwelling biome,ENVO:01000858 ! marine upwelling biome,ENVO:01000858,marine upwelling biome
ENVO:00000350 ! somma volcano,ENVO:00000350 ! somma volcano,ENVO:00000350,somma volcano
ENVO:01001097 ! tectonic plate,ENVO:01001097 ! tectonic plate,ENVO:01001097,tectonic plate
"FOODON:00001203 ! vetch seed (whole, dried)","FOODON:00001203 ! vetch seed (whole, dried)",,"FOODON:00001203  vetch seed whole, dried"
ENVO:00000385 ! stream mouth,ENVO:00000385 ! stream mouth,ENVO:00000385,stream mouth
CHEBI:33299 ! alkaline earth molecular entity,CHEBI:33299 ! alkaline earth molecular entity,,CHEBI:33299  alkaline earth molecular entity
CHEBI:32955 ! epoxide,CHEBI:32955 ! epoxide,,CHEBI:32955  epoxide
UBERON:0010225 ! thalamic complex,UBERON:0010225 ! thalamic complex,,UBERON:0010225  thalamic complex
ENVO:00000181 ! nunatak,ENVO:00000181 ! nunatak,ENVO:00000181,nunatak
ENVO:01001306 ! bone element environment,ENVO:01001306 ! bone element environment,ENVO:01001306,bone element environment
ENVO:06105204 ! photosynthetic photon flux density,ENVO:06105204 ! photosynthetic photon flux density,ENVO:06105204,photosynthetic photon flux density
ENVO:09200015 ! humidity of soil,ENVO:09200015 ! humidity of soil,ENVO:09200015,humidity of soil
ENVO:01001835 ! alpine biome,ENVO:01001835 ! alpine biome,ENVO:01001835,alpine biome
ENVO:01001717 ! neutral occluded front,ENVO:01001717 ! neutral occluded front,ENVO:01001717,neutral occluded front
ENVO:01001137 ! ice planet,ENVO:01001137 ! ice planet,ENVO:01001137,ice planet
UBERON:0006558 ! lymphatic part of lymphoid system,UBERON:0006558 ! lymphatic part of lymphoid system,,UBERON:0006558  lymphatic part of lymphoid system
CHEBI:33356 ! iron group element atom,CHEBI:33356 ! iron group element atom,,CHEBI:33356  iron group element atom
ENVO:03600002 ! cooling water,ENVO:03600002 ! cooling water,ENVO:03600002,cooling water
ENVO:01001505 ! alpine tundra biome,ENVO:01001505 ! alpine tundra biome,ENVO:01001505,alpine tundra biome
UBERON:0007829 ! pectoral girdle bone,UBERON:0007829 ! pectoral girdle bone,,UBERON:0007829  pectoral girdle bone
UBERON:0000160 ! intestine,UBERON:0000160 ! intestine,,UBERON:0000160  intestine
NCBITaxon:1437183 ! Mesangiospermae,NCBITaxon:1437183 ! Mesangiospermae,,NCBITaxon:1437183  Mesangiospermae
PCO:0000029 ! multi-species collection of organisms,PCO:0000029 ! multi-species collection of organisms,,PCO:0000029  multi-species collection of organisms
ENVO:01000961 ! tertiary atmosphere,ENVO:01000961 ! tertiary atmosphere,ENVO:01000961,tertiary atmosphere
CHEBI:33315 ! monoatomic helium,CHEBI:33315 ! monoatomic helium,,CHEBI:33315  monoatomic helium
CHEBI:33659 ! organic aromatic compound,CHEBI:33659 ! organic aromatic compound,,CHEBI:33659  organic aromatic compound
CHEBI:38101 ! organonitrogen heterocyclic compound,CHEBI:38101 ! organonitrogen heterocyclic compound,,CHEBI:38101  organonitrogen heterocyclic compound
ENVO:00000274 ! continental rise,ENVO:00000274 ! continental rise,ENVO:00000274,continental rise
ENVO:03501220 ! door,ENVO:03501220 ! door,ENVO:03501220,door
UBERON:0016888 ! transitional anatomical structure,UBERON:0016888 ! transitional anatomical structure,,UBERON:0016888  transitional anatomical structure
ENVO:01000547 ! glaze ice layer,ENVO:01000547 ! glaze ice layer,ENVO:01000547,glaze ice layer
FOODON:00001129 ! goat milk cheese food product,FOODON:00001129 ! goat milk cheese food product,,FOODON:00001129  goat milk cheese food product
ENVO:2000008 ! lignite,ENVO:2000008 ! lignite,ENVO:2000008,lignite
ENVO:01000096 ! water mass front,ENVO:01000096 ! water mass front,ENVO:01000096,water mass front
ENVO:01000890 ! area of moss-dominated vegetation,ENVO:01000890 ! area of moss-dominated vegetation,ENVO:01000890,area of moss-dominated vegetation
ENVO:01000130 ! marine hydrothermal plume,ENVO:01000130 ! marine hydrothermal plume,ENVO:01000130,marine hydrothermal plume
ENVO:03501213 ! light switch,ENVO:03501213 ! light switch,ENVO:03501213,light switch
ENVO:03510006 ! diesel fuel,ENVO:03510006 ! diesel fuel,ENVO:03510006,diesel fuel
FOODON:00001006 ! mammalian meat food product,FOODON:00001006 ! mammalian meat food product,,FOODON:00001006  mammalian meat food product
UBERON:0005292 ! extraembryonic tissue,UBERON:0005292 ! extraembryonic tissue,,UBERON:0005292  extraembryonic tissue
ENVO:01000642 ! outer planetary core,ENVO:01000642 ! outer planetary core,ENVO:01000642,outer planetary core
ENVO:02000035 ! oronasal secretion material,ENVO:02000035 ! oronasal secretion material,ENVO:02000035,oronasal secretion material
CHEBI:22918 ! branched-chain amino acid,CHEBI:22918 ! branched-chain amino acid,,CHEBI:22918  branched-chain amino acid
ENVO:00002275 ! technosol,ENVO:00002275 ! technosol,ENVO:00002275,technosol
PATO:0001594 ! arched,PATO:0001594 ! arched,,PATO:0001594  arched
CHEBI:26490 ! quinate,CHEBI:26490 ! quinate,,CHEBI:26490  quinate
ENVO:01000086 ! coastal buoyancy current front,ENVO:01000086 ! coastal buoyancy current front,ENVO:01000086,coastal buoyancy current front
FOODON:00001013 ! cheese food product,FOODON:00001013 ! cheese food product,,FOODON:00001013  cheese food product
ENVO:00003885 ! brewery,ENVO:00003885 ! brewery,ENVO:00003885,brewery
ENVO:00000059 ! underground river,ENVO:00000059 ! underground river,ENVO:00000059,underground river
NCBITaxon:2696291 ! Ochrophyta,NCBITaxon:2696291 ! Ochrophyta,,NCBITaxon:2696291  Ochrophyta
NCBITaxon:3954 ! Combretaceae,NCBITaxon:3954 ! Combretaceae,,NCBITaxon:3954  Combretaceae
NCBITaxon:51952 ! Elaeis,NCBITaxon:51952 ! Elaeis,,NCBITaxon:51952  Elaeis
CHEBI:36244 ! dicarboxylic acid monoester,CHEBI:36244 ! dicarboxylic acid monoester,,CHEBI:36244  dicarboxylic acid monoester
ENVO:01000594 ! cabinet,ENVO:01000594 ! cabinet,ENVO:01000594,cabinet
ENVO:00002040 ! wood,ENVO:00002040 ! wood,ENVO:00002040,wood
ENVO:01001182 ! tended pasturable land,ENVO:01001182 ! tended pasturable land,ENVO:01001182,tended pasturable land
UBERON:0005629 ! vascular plexus,UBERON:0005629 ! vascular plexus,,UBERON:0005629  vascular plexus
CHEBI:53242 ! vinyl polymer macromolecule,CHEBI:53242 ! vinyl polymer macromolecule,,CHEBI:53242  vinyl polymer macromolecule
ENVO:01000008 ! microbial mat,ENVO:01000008 ! microbial mat,ENVO:01000008,microbial mat
ENVO:01000101 ! warm surface current,ENVO:01000101 ! warm surface current,ENVO:01000101,warm surface current
UBERON:0001769 ! iris,UBERON:0001769 ! iris,,UBERON:0001769  iris
PATO:0055003 ! increased rate of occurrence,PATO:0055003 ! increased rate of occurrence,,PATO:0055003  increased rate of occurrence
ENVO:00005738 ! foamy environmental material,ENVO:00005738 ! foamy environmental material,ENVO:00005738,foamy environmental material
ENVO:01000314 ! high osmolarity environment,ENVO:01000314 ! high osmolarity environment,ENVO:01000314,high osmolarity environment
ENVO:01000167 ! determinate root nodule,ENVO:01000167 ! determinate root nodule,ENVO:01000167,determinate root nodule
CHEBI:33675 ! p-block molecular entity,CHEBI:33675 ! p-block molecular entity,,CHEBI:33675  p-block molecular entity
ENVO:03400010 ! freezing rain,ENVO:03400010 ! freezing rain,ENVO:03400010,freezing rain
ENVO:00001996 ! mine drainage,ENVO:00001996 ! mine drainage,ENVO:00001996,mine drainage
UBERON:0003073 ! lens placode,UBERON:0003073 ! lens placode,,UBERON:0003073  lens placode
NCBITaxon:2 ! Bacteria,NCBITaxon:2 ! Bacteria,,NCBITaxon:2  Bacteria
ENVO:09200032 ! duration of stellar radiation,ENVO:09200032 ! duration of stellar radiation,ENVO:09200032,duration of stellar radiation
ENVO:03501317 ! food production environmental monitoring zone 4,ENVO:03501317 ! food production environmental monitoring zone 4,ENVO:03501317,food production environmental monitoring zone 4
CHEBI:18230 ! chlorophyll a,CHEBI:18230 ! chlorophyll a,,CHEBI:18230  chlorophyll a
NCBITaxon:91836 ! malvids,NCBITaxon:91836 ! malvids,,NCBITaxon:91836  malvids
UBERON:0010912 ! subdivision of skeleton,UBERON:0010912 ! subdivision of skeleton,,UBERON:0010912  subdivision of skeleton
UBERON:0000464 ! anatomical space,UBERON:0000464 ! anatomical space,,UBERON:0000464  anatomical space
PATO:0001711 ! perimeter,PATO:0001711 ! perimeter,,PATO:0001711  perimeter
ENVO:01000051 ! marine black smoker biome,ENVO:01000051 ! marine black smoker biome,ENVO:01000051,marine black smoker biome
FOODON:00001106 ! camelid dairy food product,FOODON:00001106 ! camelid dairy food product,,FOODON:00001106  camelid dairy food product
ENVO:00000281 ! fault escarpment,ENVO:00000281 ! fault escarpment,ENVO:00000281,fault escarpment
ENVO:0010163 ! dry river valley,ENVO:0010163 ! dry river valley,ENVO:0010163,dry river valley
ENVO:00000198 ! ice-covered lake,ENVO:00000198 ! ice-covered lake,ENVO:00000198,ice-covered lake
ENVO:01001475 ! omics observatory system,ENVO:01001475 ! omics observatory system,ENVO:01001475,omics observatory system
CHEBI:26712 ! sodium molecular entity,CHEBI:26712 ! sodium molecular entity,,CHEBI:26712  sodium molecular entity
ENVO:3200062 ! concentration of iron molecular entity in soil,ENVO:3200062 ! concentration of iron molecular entity in soil,ENVO:3200062,concentration of iron molecular entity in soil
ENVO:01000492 ! dung building floor,ENVO:01000492 ! dung building floor,ENVO:01000492,dung building floor
ENVO:00005792 ! underground water,ENVO:00005792 ! underground water,ENVO:00005792,underground water
ENVO:00000455 ! tarn,ENVO:00000455 ! tarn,ENVO:00000455,tarn
ENVO:01000550 ! composting toilet,ENVO:01000550 ! composting toilet,ENVO:01000550,composting toilet
ENVO:09200002 ! environmental system process quality,ENVO:09200002 ! environmental system process quality,ENVO:09200002,environmental system process quality
ENVO:00000157 ! peat cut,ENVO:00000157 ! peat cut,ENVO:00000157,peat cut
PATO:0001164 ! dense,PATO:0001164 ! dense,,PATO:0001164  dense
ENVO:01001665 ! soil cryoturbate,ENVO:01001665 ! soil cryoturbate,ENVO:01001665,soil cryoturbate
ENVO:01000452 ! environmental disposition,ENVO:01000452 ! environmental disposition,ENVO:01000452,environmental disposition
ENVO:09200028 ! speed of soil water infiltration,ENVO:09200028 ! speed of soil water infiltration,ENVO:09200028,speed of soil water infiltration
ENVO:2000025 ! nuclear energy,ENVO:2000025 ! nuclear energy,ENVO:2000025,nuclear energy
ENVO:02000124 ! lead paint,ENVO:02000124 ! lead paint,ENVO:02000124,lead paint
ENVO:01000269 ! siltstone,ENVO:01000269 ! siltstone,ENVO:01000269,siltstone
FOODON:00001028 ! Brie cheese food product,FOODON:00001028 ! Brie cheese food product,,FOODON:00001028  Brie cheese food product
ENVO:00002012 ! hypersaline water,ENVO:00002012 ! hypersaline water,ENVO:00002012,hypersaline water
ENVO:00000193 ! olive grove,ENVO:00000193 ! olive grove,ENVO:00000193,olive grove
ENVO:01000394 ! tropical freshwater swamp forest,ENVO:01000394 ! tropical freshwater swamp forest,ENVO:01000394,tropical freshwater swamp forest
UBERON:0004119 ! endoderm-derived structure,UBERON:0004119 ! endoderm-derived structure,,UBERON:0004119  endoderm-derived structure
FOODON:00001251 ! avian food product,FOODON:00001251 ! avian food product,,FOODON:00001251  avian food product
ENVO:01000518 ! diapir,ENVO:01000518 ! diapir,ENVO:01000518,diapir
FOODON:00001050 ! tempeh food product,FOODON:00001050 ! tempeh food product,,FOODON:00001050  tempeh food product
FOODON:00001154 ! citrullus lanatus fruit food product,FOODON:00001154 ! citrullus lanatus fruit food product,,FOODON:00001154  citrullus lanatus fruit food product
ENVO:00000439 ! dell,ENVO:00000439 ! dell,ENVO:00000439,dell
ENVO:01001058 ! environment associated with a fungal tissue,ENVO:01001058 ! environment associated with a fungal tissue,ENVO:01001058,environment associated with a fungal tissue
ENVO:01000362 ! inflationary cave,ENVO:01000362 ! inflationary cave,ENVO:01000362,inflationary cave
ENVO:00003090 ! kynurenate enriched soil,ENVO:00003090 ! kynurenate enriched soil,ENVO:00003090,kynurenate enriched soil
CHEBI:17245 ! carbon monoxide,CHEBI:17245 ! carbon monoxide,,CHEBI:17245  carbon monoxide
ENVO:03501108 ! passenger train,ENVO:03501108 ! passenger train,ENVO:03501108,passenger train
ENVO:00002054 ! chalk,ENVO:00002054 ! chalk,ENVO:00002054,chalk
CHEBI:17045 ! dinitrogen oxide,CHEBI:17045 ! dinitrogen oxide,,CHEBI:17045  dinitrogen oxide
FOODON:00002786 ! velvet bean (whole),FOODON:00002786 ! velvet bean (whole),,FOODON:00002786  velvet bean whole
UBERON:0014387 ! mesenchyme derived from neural crest,UBERON:0014387 ! mesenchyme derived from neural crest,,UBERON:0014387  mesenchyme derived from neural crest
FOODON:03315302 ! cocoa food product,FOODON:03315302 ! cocoa food product,,FOODON:03315302  cocoa food product
FOODON:00001037 ! vacherin mont dor cheese food product,FOODON:00001037 ! vacherin mont dor cheese food product,,FOODON:00001037  vacherin mont dor cheese food product
ENVO:03501287 ! livestock house,ENVO:03501287 ! livestock house,ENVO:03501287,livestock house
ENVO:00002127 ! stream sediment,ENVO:00002127 ! stream sediment,ENVO:00002127,stream sediment
PATO:0002270 ! increased accumulation,PATO:0002270 ! increased accumulation,,PATO:0002270  increased accumulation
NCBITaxon:314293 ! Simiiformes,NCBITaxon:314293 ! Simiiformes,,NCBITaxon:314293  Simiiformes
ENVO:03000112 ! snow drift,ENVO:03000112 ! snow drift,ENVO:03000112,snow drift
ENVO:01000168 ! indeterminate root nodule,ENVO:01000168 ! indeterminate root nodule,ENVO:01000168,indeterminate root nodule
ENVO:01001463 ! UNEP-WCMC class 3 mountain,ENVO:01001463 ! UNEP-WCMC class 3 mountain,ENVO:01001463,UNEP-WCMC class 3 mountain
ENVO:2100003 ! skin environment,ENVO:2100003 ! skin environment,ENVO:2100003,skin environment
ENVO:00002138 ! beach sand,ENVO:00002138 ! beach sand,ENVO:00002138,beach sand
ENVO:01001454 ! polar mountain,ENVO:01001454 ! polar mountain,ENVO:01001454,polar mountain
ENVO:01000866 ! photovoltaic system,ENVO:01000866 ! photovoltaic system,ENVO:01000866,photovoltaic system
ENVO:03510008 ! diesel exhaust,ENVO:03510008 ! diesel exhaust,ENVO:03510008,diesel exhaust
ENVO:02000004 ! nesting material,ENVO:02000004 ! nesting material,ENVO:02000004,nesting material
ENVO:02000112 ! fume,ENVO:02000112 ! fume,ENVO:02000112,fume
UBERON:0010258 ! mesenchyme from rhombencephalic neural crest,UBERON:0010258 ! mesenchyme from rhombencephalic neural crest,,UBERON:0010258  mesenchyme from rhombencephalic neural crest
ENVO:01000204 ! tropical,ENVO:01000204 ! tropical,ENVO:01000204,tropical
ENVO:03510004 ! hydraulic fluid,ENVO:03510004 ! hydraulic fluid,ENVO:03510004,hydraulic fluid
ENVO:01000731 ! igneous extrusion,ENVO:01000731 ! igneous extrusion,ENVO:01000731,igneous extrusion
ENVO:03501335 ! day care facility,ENVO:03501335 ! day care facility,ENVO:03501335,day care facility
CHEBI:25812 ! ozone,CHEBI:25812 ! ozone,,CHEBI:25812  ozone
ENVO:00000558 ! diversionary dam,ENVO:00000558 ! diversionary dam,ENVO:00000558,diversionary dam
ENVO:01001050 ! saline sediment environment,ENVO:01001050 ! saline sediment environment,ENVO:01001050,saline sediment environment
ENVO:09000030 ! concentration of soil organic matter in soil,ENVO:09000030 ! concentration of soil organic matter in soil,ENVO:09000030,concentration of soil organic matter in soil
FOODON:00001174 ! plant lipid food product,FOODON:00001174 ! plant lipid food product,,FOODON:00001174  plant lipid food product
CHEBI:41609 ! carbonate,CHEBI:41609 ! carbonate,,CHEBI:41609  carbonate
UBERON:0000323 ! late embryo,UBERON:0000323 ! late embryo,,UBERON:0000323  late embryo
ENVO:01000872 ! ballast water,ENVO:01000872 ! ballast water,ENVO:01000872,ballast water
ENVO:01000739 ! habitat,ENVO:01000739 ! habitat,ENVO:01000739,habitat
PATO:0002008 ! concave 3-D shape,PATO:0002008 ! concave 3-D shape,,PATO:0002008  concave 3-D shape
ENVO:00003864 ! bakery,ENVO:00003864 ! bakery,ENVO:00003864,bakery
ENVO:00005796 ! marine sludge,ENVO:00005796 ! marine sludge,ENVO:00005796,marine sludge
ENVO:00000307 ! icefall,ENVO:00000307 ! icefall,ENVO:00000307,icefall
CHEBI:33597 ! homocyclic compound,CHEBI:33597 ! homocyclic compound,,CHEBI:33597  homocyclic compound
NCBITaxon:89593 ! Craniata <chordates>,NCBITaxon:89593 ! Craniata <chordates>,,NCBITaxon:89593  Craniata <chordates>
ENVO:09200025 ! volume of evaporation,ENVO:09200025 ! volume of evaporation,ENVO:09200025,volume of evaporation
ENVO:01000434 ! sclerophyllous forest,ENVO:01000434 ! sclerophyllous forest,ENVO:01000434,sclerophyllous forest
ENVO:01000152 ! iron-reducing sediment,ENVO:01000152 ! iron-reducing sediment,ENVO:01000152,iron-reducing sediment
PATO:0001199 ! linear,PATO:0001199 ! linear,,PATO:0001199  linear
PATO:0000407 ! flat,PATO:0000407 ! flat,,PATO:0000407  flat
ENVO:00005757 ! bacteria enriched soil,ENVO:00005757 ! bacteria enriched soil,ENVO:00005757,bacteria enriched soil
ENVO:00002204 ! anthropogenic contamination feature,ENVO:00002204 ! anthropogenic contamination feature,ENVO:00002204,anthropogenic contamination feature
ENVO:06105118 ! lost fishing gear,ENVO:06105118 ! lost fishing gear,ENVO:06105118,lost fishing gear
ENVO:03510033 ! luminescent paint,ENVO:03510033 ! luminescent paint,ENVO:03510033,luminescent paint
ENVO:00003094 ! L-(+)-tartrate enriched soil,ENVO:00003094 ! L-(+)-tartrate enriched soil,ENVO:00003094,L-(+)-tartrate enriched soil
ENVO:01000265 ! hydrothermal seep,ENVO:01000265 ! hydrothermal seep,ENVO:01000265,hydrothermal seep
ENVO:01000423 ! living room,ENVO:01000423 ! living room,ENVO:01000423,living room
ENVO:01000673 ! shear fracture,ENVO:01000673 ! shear fracture,ENVO:01000673,shear fracture
ENVO:02000081 ! letter,ENVO:02000081 ! letter,ENVO:02000081,letter
NCBITaxon:7624 ! Echinozoa,NCBITaxon:7624 ! Echinozoa,,NCBITaxon:7624  Echinozoa
CHEBI:51688 ! enal,CHEBI:51688 ! enal,,CHEBI:51688  enal
CHEBI:36934 ! nitrogen-15 atom,CHEBI:36934 ! nitrogen-15 atom,,CHEBI:36934  nitrogen-15 atom
CHEBI:79388 ! divalent inorganic anion,CHEBI:79388 ! divalent inorganic anion,,CHEBI:79388  divalent inorganic anion
ENVO:03600062 ! fountain,ENVO:03600062 ! fountain,ENVO:03600062,fountain
PATO:0001596 ! increased depth,PATO:0001596 ! increased depth,,PATO:0001596  increased depth
FOODON:00001234 ! mayonnaise food product,FOODON:00001234 ! mayonnaise food product,,FOODON:00001234  mayonnaise food product
ENVO:00000514 ! crater,ENVO:00000514 ! crater,ENVO:00000514,crater
FOODON:00001100 ! orange fruit beverage,FOODON:00001100 ! orange fruit beverage,,FOODON:00001100  orange fruit beverage
FOODON:00001149 ! confectionery food product,FOODON:00001149 ! confectionery food product,,FOODON:00001149  confectionery food product
ENVO:01001677 ! fluid interface layer,ENVO:01001677 ! fluid interface layer,ENVO:01001677,fluid interface layer
PATO:0015030 ! plume-shaped,PATO:0015030 ! plume-shaped,,PATO:0015030  plume-shaped
FOODON:03400680 ! 015  pulses (vd) (ccpr),FOODON:03400680 ! 015  pulses (vd) (ccpr),,FOODON:03400680  015  pulses vd ccpr
ENVO:00000105 ! lake surface,ENVO:00000105 ! lake surface,ENVO:00000105,lake surface
ENVO:01001335 ! anchor ice,ENVO:01001335 ! anchor ice,ENVO:01001335,anchor ice
ENVO:01000325 ! aquatic layer,ENVO:01000325 ! aquatic layer,ENVO:01000325,aquatic layer
PCO:0000031 ! organismal entity,PCO:0000031 ! organismal entity,,PCO:0000031  organismal entity
ENVO:03510022 ! resin (gum) varnish,ENVO:03510022 ! resin (gum) varnish,ENVO:03510022,resin (gum) varnish
CHEBI:25414 ! monoatomic monocation,CHEBI:25414 ! monoatomic monocation,,CHEBI:25414  monoatomic monocation
ENVO:02000141 ! refinery,ENVO:02000141 ! refinery,ENVO:02000141,refinery
PO:0009011 ! plant structure,PO:0009011 ! plant structure,,PO:0009011  plant structure
FOODON:00001015 ! plant food product,FOODON:00001015 ! plant food product,,FOODON:00001015  plant food product
ENVO:00005768 ! orchid soil,ENVO:00005768 ! orchid soil,ENVO:00005768,orchid soil
PATO:0001685 ! magnetic,PATO:0001685 ! magnetic,,PATO:0001685  magnetic
PATO:0001559 ! having extra function,PATO:0001559 ! having extra function,,PATO:0001559  having extra function
ENVO:01001051 ! environment determined by a biofilm on a non-saline surface,ENVO:01001051 ! environment determined by a biofilm on a non-saline surface,ENVO:01001051,environment determined by a biofilm on a non-saline surface
FOODON:00001217 ! mammalian milk beverage,FOODON:00001217 ! mammalian milk beverage,,FOODON:00001217  mammalian milk beverage
ENVO:09200023 ! depth of snow,ENVO:09200023 ! depth of snow,ENVO:09200023,depth of snow
UBERON:0010741 ! bone of pectoral complex,UBERON:0010741 ! bone of pectoral complex,,UBERON:0010741  bone of pectoral complex
ENVO:01001797 ! tropical mixed forest,ENVO:01001797 ! tropical mixed forest,ENVO:01001797,tropical mixed forest
ENVO:01000473 ! thatch,ENVO:01000473 ! thatch,ENVO:01000473,thatch
ENVO:01000266 ! water vapour,ENVO:01000266 ! water vapour,ENVO:01000266,water vapour
CHEBI:50594 ! carbon nanotube,CHEBI:50594 ! carbon nanotube,,CHEBI:50594  carbon nanotube
ENVO:00002056 ! shale,ENVO:00002056 ! shale,ENVO:00002056,shale
ENVO:3100022 ! concentration of nitrate in liquid water,ENVO:3100022 ! concentration of nitrate in liquid water,ENVO:3100022,concentration of nitrate in liquid water
ENVO:00000260 ! prairie,ENVO:00000260 ! prairie,ENVO:00000260,prairie
FOODON:00001298 ! unpasteurized camel milk beverage,FOODON:00001298 ! unpasteurized camel milk beverage,,FOODON:00001298  unpasteurized camel milk beverage
ENVO:01000274 ! slate,ENVO:01000274 ! slate,ENVO:01000274,slate
ENVO:09200033 ! pressure of atmospheric water vapour,ENVO:09200033 ! pressure of atmospheric water vapour,ENVO:09200033,pressure of atmospheric water vapour
ENVO:00002872 ! bagasse,ENVO:00002872 ! bagasse,ENVO:00002872,bagasse
ENVO:01001329 ! estuarine tidal riverine open water lower water column,ENVO:01001329 ! estuarine tidal riverine open water lower water column,ENVO:01001329,estuarine tidal riverine open water lower water column
ENVO:00005744 ! allotment garden soil,ENVO:00005744 ! allotment garden soil,ENVO:00005744,allotment garden soil
ENVO:00002141 ! leachate,ENVO:00002141 ! leachate,ENVO:00002141,leachate
ENVO:00002137 ! brackish estuary,ENVO:00002137 ! brackish estuary,ENVO:00002137,brackish estuary
ENVO:01000838 ! smoke,ENVO:01000838 ! smoke,ENVO:01000838,smoke
ENVO:00000325 ! polje,ENVO:00000325 ! polje,ENVO:00000325,polje
ENVO:02000040 ! mucus material,ENVO:02000040 ! mucus material,ENVO:02000040,mucus material
PATO:0000019 ! color pattern,PATO:0000019 ! color pattern,,PATO:0000019  color pattern
CHEBI:26822 ! sulfide,CHEBI:26822 ! sulfide,,CHEBI:26822  sulfide
FOODON:00001114 ! zebra dairy food product,FOODON:00001114 ! zebra dairy food product,,FOODON:00001114  zebra dairy food product
ENVO:00003964 ! tobacco warehouse,ENVO:00003964 ! tobacco warehouse,ENVO:00003964,tobacco warehouse
FOODON:00004156 ! velvet bean food product,FOODON:00004156 ! velvet bean food product,,FOODON:00004156  velvet bean food product
CHEBI:50558 ! monoatomic uranium,CHEBI:50558 ! monoatomic uranium,,CHEBI:50558  monoatomic uranium
UBERON:0004905 ! articulation,UBERON:0004905 ! articulation,,UBERON:0004905  articulation
ENVO:03600037 ! eutrophic pond,ENVO:03600037 ! eutrophic pond,ENVO:03600037,eutrophic pond
PO:0009013 ! portion of meristem tissue,PO:0009013 ! portion of meristem tissue,,PO:0009013  portion of meristem tissue
ENVO:00000088 ! sea cliff,ENVO:00000088 ! sea cliff,ENVO:00000088,sea cliff
ENVO:01001888 ! calcic spring,ENVO:01001888 ! calcic spring,ENVO:01001888,calcic spring
UBERON:0000484 ! simple cuboidal epithelium,UBERON:0000484 ! simple cuboidal epithelium,,UBERON:0000484  simple cuboidal epithelium
CHEBI:33836 ! benzenoid aromatic compound,CHEBI:33836 ! benzenoid aromatic compound,,CHEBI:33836  benzenoid aromatic compound
UBERON:0015212 ! lateral structure,UBERON:0015212 ! lateral structure,,UBERON:0015212  lateral structure
ENVO:01001208 ! swamp area,ENVO:01001208 ! swamp area,ENVO:01001208,swamp area
ENVO:01001275 ! solid layer,ENVO:01001275 ! solid layer,ENVO:01001275,solid layer
