raw_text,portion_parsed,normalized_curie,normalized_label
ENVO:01000007 ! organic object formed through microbial activity,ENVO:01000007 ! organic object formed through microbial activity,ENVO:01000007,organic object formed through microbial activity
PATO:0002165 ! drooping,PATO:0002165 ! drooping,,PATO:0002165  drooping
ENVO:00000297 ! paddy field,ENVO:00000297 ! paddy field,ENVO:00000297,paddy field
ENVO:00005756 ! lawn soil,ENVO:00005756 ! lawn soil,ENVO:00005756,lawn soil
CHEBI:21760 ! N-methyl-amino acid,CHEBI:21760 ! N-methyl-amino acid,,CHEBI:21760  N-methyl-amino acid
ENVO:01000636 ! liquid planetary surface,ENVO:01000636 ! liquid planetary surface,ENVO:01000636,liquid planetary surface
FOODON:00001093 ! cereal grain food product,FOODON:00001093 ! cereal grain food product,,FOODON:00001093  cereal grain food product
ENVO:00000481 ! pinnacle,ENVO:00000481 ! pinnacle,ENVO:00000481,pinnacle
ENVO:01000967 ! public swimming pool,ENVO:01000967 ! public swimming pool,ENVO:01000967,public swimming pool
FOODON:00001635 ! bean food product,FOODON:00001635 ! bean food product,,FOODON:00001635  bean food product
FOODON:00001142 ! maize (corn) food product,FOODON:00001142 ! maize (corn) food product,,FOODON:00001142  maize corn food product
NCBITaxon:117570 ! Teleostomi,NCBITaxon:117570 ! Teleostomi,,NCBITaxon:117570  Teleostomi
ENVO:03501312 ! environmental monitoring program area,ENVO:03501312 ! environmental monitoring program area,ENVO:03501312,environmental monitoring program area
ENVO:01000934 ! restaurant,ENVO:01000934 ! restaurant,ENVO:01000934,restaurant
ENVO:01000850 ! clathrate material,ENVO:01000850 ! clathrate material,ENVO:01000850,clathrate material
ENVO:00000376 ! biosphere reserve,ENVO:00000376 ! biosphere reserve,ENVO:00000376,biosphere reserve
ENVO:00005747 ! compost soil,ENVO:00005747 ! compost soil,ENVO:00005747,compost soil
PATO:0015011 ! decreased humidity,PATO:0015011 ! decreased humidity,,PATO:0015011  decreased humidity
ENVO:00000369 ! brine pool,ENVO:00000369 ! brine pool,ENVO:00000369,brine pool
ENVO:01000288 ! monomictic lake,ENVO:01000288 ! monomictic lake,ENVO:01000288,monomictic lake
CHEBI:35789 ! oxo steroid,CHEBI:35789 ! oxo steroid,,CHEBI:35789  oxo steroid
UBERON:0007524 ! dense mesenchyme tissue,UBERON:0007524 ! dense mesenchyme tissue,,UBERON:0007524  dense mesenchyme tissue
ENVO:01001683 ! gaseous surface layer,ENVO:01001683 ! gaseous surface layer,ENVO:01001683,gaseous surface layer
ENVO:06105233 ! dry soil albedo,ENVO:06105233 ! dry soil albedo,ENVO:06105233,dry soil albedo
ENVO:01001678 ! fluid layer,ENVO:01001678 ! fluid layer,ENVO:01001678,fluid layer
ENVO:01001392 ! mussel gill tissue material,ENVO:01001392 ! mussel gill tissue material,ENVO:01001392,mussel gill tissue material
ENVO:03000069 ! young ice,ENVO:03000069 ! young ice,ENVO:03000069,young ice
ENVO:00000467 ! university campus,ENVO:00000467 ! university campus,ENVO:00000467,university campus
CHEBI:33347 ! vanadium group element atom,CHEBI:33347 ! vanadium group element atom,,CHEBI:33347  vanadium group element atom
ENVO:01001375 ! sea ice variability,ENVO:01001375 ! sea ice variability,ENVO:01001375,sea ice variability
PATO:0055004 ! decreased rate of occurrence,PATO:0055004 ! decreased rate of occurrence,,PATO:0055004  decreased rate of occurrence
ENVO:03600043 ! meromictic pond,ENVO:03600043 ! meromictic pond,ENVO:03600043,meromictic pond
FOODON:00001014 ! yogurt food product,FOODON:00001014 ! yogurt food product,,FOODON:00001014  yogurt food product
ENVO:03501347 ! hotel,ENVO:03501347 ! hotel,ENVO:03501347,hotel
ENVO:01000302 ! outcrop,ENVO:01000302 ! outcrop,ENVO:01000302,outcrop
ENVO:00002115 ! petroleum enriched sediment,ENVO:00002115 ! petroleum enriched sediment,ENVO:00002115,petroleum enriched sediment
ENVO:00000008 ! fourth-order administrative region,ENVO:00000008 ! fourth-order administrative region,ENVO:00000008,fourth-order administrative region
ENVO:00005799 ! rocky sand,ENVO:00005799 ! rocky sand,ENVO:00005799,rocky sand
ENVO:04000014 ! particulate organic nitrogen,ENVO:04000014 ! particulate organic nitrogen,ENVO:04000014,particulate organic nitrogen
FOODON:00001838 ! fermented cereal beverage,FOODON:00001838 ! fermented cereal beverage,,FOODON:00001838  fermented cereal beverage
ENVO:03600081 ! cloud water,ENVO:03600081 ! cloud water,ENVO:03600081,cloud water
ENVO:01001070 ! impact crater lake,ENVO:01001070 ! impact crater lake,ENVO:01001070,impact crater lake
ENVO:01001823 ! bubble plume,ENVO:01001823 ! bubble plume,ENVO:01001823,bubble plume
ENVO:01000252 ! freshwater lake biome,ENVO:01000252 ! freshwater lake biome,ENVO:01000252,freshwater lake biome
ENVO:01001337 ! riverine anchor ice,ENVO:01001337 ! riverine anchor ice,ENVO:01001337,riverine anchor ice
CHEBI:83628 ! N-acylammonia,CHEBI:83628 ! N-acylammonia,,CHEBI:83628  N-acylammonia
CHEBI:27007 ! tin atom,CHEBI:27007 ! tin atom,,CHEBI:27007  tin atom
UBERON:0013686 ! anatomical conduit space,UBERON:0013686 ! anatomical conduit space,,UBERON:0013686  anatomical conduit space
ENVO:01001397 ! ultisol,ENVO:01001397 ! ultisol,ENVO:01001397,ultisol
UBERON:0002091 ! appendicular skeleton,UBERON:0002091 ! appendicular skeleton,,UBERON:0002091  appendicular skeleton
CHEBI:33702 ! polyatomic cation,CHEBI:33702 ! polyatomic cation,,CHEBI:33702  polyatomic cation
ENVO:09200013 ! wetness of soil,ENVO:09200013 ! wetness of soil,ENVO:09200013,wetness of soil
ENVO:00000272 ! confluence,ENVO:00000272 ! confluence,ENVO:00000272,confluence
ENVO:00005803 ! animal habitation,ENVO:00005803 ! animal habitation,ENVO:00005803,animal habitation
ENVO:01000166 ! mycetome,ENVO:01000166 ! mycetome,ENVO:01000166,mycetome
ENVO:01000772 ! rural area,ENVO:01000772 ! rural area,ENVO:01000772,rural area
ENVO:00002205 ! unexploded-ordnance dump,ENVO:00002205 ! unexploded-ordnance dump,ENVO:00002205,unexploded-ordnance dump
UBERON:0000073 ! regional part of nervous system,UBERON:0000073 ! regional part of nervous system,,UBERON:0000073  regional part of nervous system
ENVO:02000041 ! lymph material,ENVO:02000041 ! lymph material,ENVO:02000041,lymph material
NCBITaxon:6545 ! Pteriomorphia,NCBITaxon:6545 ! Pteriomorphia,,NCBITaxon:6545  Pteriomorphia
ENVO:03501132 ! fire station,ENVO:03501132 ! fire station,ENVO:03501132,fire station
ENVO:01001667 ! thalassic,ENVO:01001667 ! thalassic,ENVO:01001667,thalassic
ENVO:3200046 ! concentration of lanthanum in snow,ENVO:3200046 ! concentration of lanthanum in snow,ENVO:3200046,concentration of lanthanum in snow
UBERON:0008229 ! craniocervical region musculature,UBERON:0008229 ! craniocervical region musculature,,UBERON:0008229  craniocervical region musculature
ENVO:03501214 ! locker,ENVO:03501214 ! locker,ENVO:03501214,locker
CHEBI:27563 ! arsenic atom,CHEBI:27563 ! arsenic atom,,CHEBI:27563  arsenic atom
FOODON:00001225 ! smoked meat food product,FOODON:00001225 ! smoked meat food product,,FOODON:00001225  smoked meat food product
ENVO:01000814 ! solid environmental material,ENVO:01000814 ! solid environmental material,ENVO:01000814,solid environmental material
ENVO:01001004 ! groundwater,ENVO:01001004 ! groundwater,ENVO:01001004,groundwater
ENVO:1000750 ! depositional island,ENVO:1000750 ! depositional island,ENVO:1000750,depositional island
ENVO:00005791 ! sterile water,ENVO:00005791 ! sterile water,ENVO:00005791,sterile water
ENVO:06105110 ! manufactured plastisphere,ENVO:06105110 ! manufactured plastisphere,ENVO:06105110,manufactured plastisphere
ENVO:00000231 ! moor,ENVO:00000231 ! moor,ENVO:00000231,moor
ENVO:01001063 ! oxic water,ENVO:01001063 ! oxic water,ENVO:01001063,oxic water
ENVO:00002276 ! animal waste material,ENVO:00002276 ! animal waste material,ENVO:00002276,animal waste material
ENVO:00002254 ! vertisol,ENVO:00002254 ! vertisol,ENVO:00002254,vertisol
ENVO:03000076 ! slush ice,ENVO:03000076 ! slush ice,ENVO:03000076,slush ice
ENVO:00000286 ! polder,ENVO:00000286 ! polder,ENVO:00000286,polder
ENVO:01000165 ! trophosome,ENVO:01000165 ! trophosome,ENVO:01000165,trophosome
ENVO:01000110 ! hydrogenous sediment,ENVO:01000110 ! hydrogenous sediment,ENVO:01000110,hydrogenous sediment
IAO:0000005 ! objective specification,IAO:0000005 ! objective specification,,IAO:0000005  objective specification
ENVO:03501244 ! Bailey bridge,ENVO:03501244 ! Bailey bridge,ENVO:03501244,Bailey bridge
UBERON:0004535 ! cardiovascular system,UBERON:0004535 ! cardiovascular system,,UBERON:0004535  cardiovascular system
CHEBI:58954 ! straight-chain saturated fatty acid anion,CHEBI:58954 ! straight-chain saturated fatty acid anion,,CHEBI:58954  straight-chain saturated fatty acid anion
ENVO:00000319 ! low tide zone,ENVO:00000319 ! low tide zone,ENVO:00000319,low tide zone
ENVO:01001153 ! circumbinary planet,ENVO:01001153 ! circumbinary planet,ENVO:01001153,circumbinary planet
ENVO:00002160 ! estuarine mud,ENVO:00002160 ! estuarine mud,ENVO:00002160,estuarine mud
FOODON:00001771 ! cow milk based food product,FOODON:00001771 ! cow milk based food product,,FOODON:00001771  cow milk based food product
UBERON:0000481 ! multi-tissue structure,UBERON:0000481 ! multi-tissue structure,,UBERON:0000481  multi-tissue structure
PATO:0001682 ! magnetism,PATO:0001682 ! magnetism,,PATO:0001682  magnetism
FOODON:00001024 ! pickled cabbage food product,FOODON:00001024 ! pickled cabbage food product,,FOODON:00001024  pickled cabbage food product
ENVO:01001564 ! rain,ENVO:01001564 ! rain,ENVO:01001564,rain
ENVO:01000846 ! water ice crystal,ENVO:01000846 ! water ice crystal,ENVO:01000846,water ice crystal
FOODON:00001009 ! hot dog,FOODON:00001009 ! hot dog,,FOODON:00001009  hot dog
UBERON:0004909 ! epithelium of gonad,UBERON:0004909 ! epithelium of gonad,,UBERON:0004909  epithelium of gonad
ENVO:01001327 ! estuarine tidal riverine open water upper water column,ENVO:01001327 ! estuarine tidal riverine open water upper water column,ENVO:01001327,estuarine tidal riverine open water upper water column
NCBITaxon:2836 ! Bacillariophyta,NCBITaxon:2836 ! Bacillariophyta,,NCBITaxon:2836  Bacillariophyta
ENVO:02000092 ! iron mine,ENVO:02000092 ! iron mine,ENVO:02000092,iron mine
UBERON:0036661 ! wall of ventricular system of brain,UBERON:0036661 ! wall of ventricular system of brain,,UBERON:0036661  wall of ventricular system of brain
UBERON:0005764 ! acellular membrane,UBERON:0005764 ! acellular membrane,,UBERON:0005764  acellular membrane
ENVO:01000363 ! erosional cave,ENVO:01000363 ! erosional cave,ENVO:01000363,erosional cave
ENVO:00002042 ! surface water,ENVO:00002042 ! surface water,ENVO:00002042,surface water
ENVO:02000113 ! welding fume,ENVO:02000113 ! welding fume,ENVO:02000113,welding fume
ENVO:01000389 ! temperate mixed broadleaf forest,ENVO:01000389 ! temperate mixed broadleaf forest,ENVO:01000389,temperate mixed broadleaf forest
CHEBI:36338 ! lepton,CHEBI:36338 ! lepton,,CHEBI:36338  lepton
ENVO:01001516 ! ice cave congelation ice,ENVO:01001516 ! ice cave congelation ice,ENVO:01001516,ice cave congelation ice
ENVO:09200016 ! conductivity of soil,ENVO:09200016 ! conductivity of soil,ENVO:09200016,conductivity of soil
ENVO:00000097 ! desert area,ENVO:00000097 ! desert area,ENVO:00000097,desert area
ENVO:00002147 ! coal mine lake sediment,ENVO:00002147 ! coal mine lake sediment,ENVO:00002147,coal mine lake sediment
ENVO:03510010 ! dye,ENVO:03510010 ! dye,ENVO:03510010,dye
FOODON:00001102 ! fermented grain beverage,FOODON:00001102 ! fermented grain beverage,,FOODON:00001102  fermented grain beverage
NCBITaxon:7010 ! Schistocerca gregaria,NCBITaxon:7010 ! Schistocerca gregaria,,NCBITaxon:7010  Schistocerca gregaria
ENVO:02000131 ! flue gas desulfurization material,ENVO:02000131 ! flue gas desulfurization material,ENVO:02000131,flue gas desulfurization material
UBERON:0000911 ! chyle,UBERON:0000911 ! chyle,,UBERON:0000911  chyle
FOODON:00001243 ! animal lipid food product,FOODON:00001243 ! animal lipid food product,,FOODON:00001243  animal lipid food product
UBERON:0004231 ! anal region smooth muscle,UBERON:0004231 ! anal region smooth muscle,,UBERON:0004231  anal region smooth muscle
FOODON:00001286 ! turkey meat food product,FOODON:00001286 ! turkey meat food product,,FOODON:00001286  turkey meat food product
NCBITaxon:85604 ! Amphiesmenoptera,NCBITaxon:85604 ! Amphiesmenoptera,,NCBITaxon:85604  Amphiesmenoptera
ENVO:01000018 ! gravel,ENVO:01000018 ! gravel,ENVO:01000018,gravel
PATO:0000984 ! porous,PATO:0000984 ! porous,,PATO:0000984  porous
PATO:0001410 ! striated,PATO:0001410 ! striated,,PATO:0001410  striated
CHEBI:46890 ! silicon hydroxide,CHEBI:46890 ! silicon hydroxide,,CHEBI:46890  silicon hydroxide
CHEBI:23003 ! carbamate ester,CHEBI:23003 ! carbamate ester,,CHEBI:23003  carbamate ester
NCBITaxon:7002 ! Acrididae,NCBITaxon:7002 ! Acrididae,,NCBITaxon:7002  Acrididae
ENVO:09000024 ! concentration of sand in soil,ENVO:09000024 ! concentration of sand in soil,ENVO:09000024,concentration of sand in soil
ENVO:00002121 ! alkaline salt lake,ENVO:00002121 ! alkaline salt lake,ENVO:00002121,alkaline salt lake
CHEBI:33646 ! alkadiene,CHEBI:33646 ! alkadiene,,CHEBI:33646  alkadiene
